"","author","status","id"
"104","BorisJohnson","We're taking action to make our streets safer, with better lighting and CCTV, tougher sentences and increased police patrols.

We must drive out violence against women and girls and make every part of the criminal justice system work better to protect and defend them.",104
"105","BorisJohnson","This evening I met with ministers, senior police officers and @CPSUK to discuss further steps needed to protect women and girls and make sure our streets are safe.

The horrific case of Sarah Everard has unleashed a wave of feeling about women not feeling safe at night.",105
"106","BorisJohnson","Buses are lifelines and liberators, connecting people to jobs they couldn't otherwise take, sustaining town centres and protecting the environment.
 
As we build back from the pandemic, better buses will be one of our first acts of levelling up. https://t.co/yc1KSf1a2O",106
"107","BorisJohnson","I want to say a massive thank you to all the people of Northern Ireland for everything they've been doing during the pandemic.

Together we will build back better. https://t.co/y4u3ZeMZWx",107
"108","BorisJohnson","I will do everything I can to make sure the streets are safe and ensure women and girls do not face harassment or abuse.",108
"109","BorisJohnson","Tonight Carrie and I will be lighting a candle for Sarah Everard and thinking of her family and friends. I cannot imagine how unbearable their pain and grief is. We must work fast to find all the answers to this horrifying crime.",109
"110","BorisJohnson","I know how difficult it has been for this generation of university students. 
 
We are going to do our best to make it up to you. https://t.co/Q7GMWLwrtq",110
"111","BorisJohnson","The brutal murder of 16 primary school children and their teacher in Dunblane 25 years ago shocked the world. We must never forget all those who lost their lives on that terrible day.

Today my thoughts are with the bereaved, the survivors, and the whole Dunblane community.",111
"112","BorisJohnson","Great to be in Northern Ireland today seeing the incredible work being done to tackle COVID and get jabs into arms – from Belfast to Enniskillen. https://t.co/fq3Zrvorge",112
"113","BorisJohnson","It was a privilege to speak to @NHSVolResponder and @StJohnAmbulance volunteers from Rochdale and Cornwall yesterday. 
 
They've helped get jabs into arms quickly and efficiently. We couldn’t do it without them. I am very grateful for their continued dedication. https://t.co/RzssfVW4Rz",113
"114","BorisJohnson","I am shocked and deeply saddened by the developments in the Sarah Everard investigation. Like the whole country my thoughts are with her family and friends. We must work fast to find all the answers to this horrifying crime.",114
"115","BorisJohnson","The UK is united by so many ties of people, history, culture, business and much more.

We are at our best when all four parts fire on all cylinders. With @SirPeterHendy’s transport connectivity review, we can make our economy and Union stronger than ever before 🇬🇧 https://t.co/yZTJOmBXlo",115
"116","BorisJohnson","Last week I met with healthcare professionals who are working tremendously hard to boost vaccine confidence amongst ethnic minority groups. 
 
It is vital that we continue to encourage everyone, in every community, to come forward to take the vaccine when it is their turn. https://t.co/Fzk1xhnzFq",116
"117","BorisJohnson","WATCH LIVE: #Coronavirus press conference (8 March 2021) https://t.co/YINyoTjXam",117
"118","BorisJohnson","Great to welcome @ClimateEnvoy John Kerry back to London today and discuss our joint efforts to protect our planet.

The UK and US have an exciting shared agenda to drive down global emissions ahead of @COP26 in November.

🇬🇧🇺🇸 https://t.co/gIssFE6EWL",118
"119","BorisJohnson","I’m proud to see the Commonwealth flag raised over No 10 today.
 
Commonwealth Day is an opportunity to celebrate this great family of nations and our joint efforts to promote prosperity, sustainability, equality and security across 54 countries.
 
#CommonwealthDay https://t.co/b5cY6Yy451",119
"120","BorisJohnson","This International Women’s Day I want to pay tribute to some of the leading figures in the UK’s vaccination programme.
 
Their ingenuity, dedication and hard work is an inspiration to all of us.
 
#InternationalWomensDay #IWD2021
#ExtraordinaryWomen https://t.co/CDJWpS5RUX",120
"121","BorisJohnson","Today pupils return to schools in England.

I want to thank teachers, parents, guardians and carers for the work you have done to keep kids learning throughout the pandemic.
 
Getting all schools back has been our priority and the first step of our roadmap back to normality.",121
"122","BorisJohnson","I met some wonderful volunteers at @JesusHouseUK this morning who are spending their Sunday running a vaccination centre and protecting their local community.
 
Thank you to everyone across the UK who is playing their part to beat this virus. https://t.co/eRRSImyq4z",122
"123","BorisJohnson","Pleased to see the removal of Nazanin Zaghari-Ratcliffe’s ankle tag, but her continued confinement remains totally unacceptable. She must be released permanently so she can return to her family in the UK, and we continue to do all we can to achieve this.",123
"124","BorisJohnson","Today @DrAlexGeorge and I spoke with some young people from across the country, to hear about their experiences throughout the pandemic. 

We have announced a £79 million support package for youth mental health and wellbeing. https://t.co/vmngEtcEP5",124
"125","BorisJohnson","“We must never cease to proclaim in fearless tones the great principles of freedom and the rights of man.” 

Churchill’s words in his famous Iron Curtain speech 75 years ago resonate as true today as they did in the post-war era. The UK stands by these values. https://t.co/JPDnjlR62q",125
"126","BorisJohnson","Brilliant trip up to Teesside with Chancellor @RishiSunak.
 
A new Freeport here will create thousands of jobs. It’s all part of our plan to build back better and greener from the pandemic. https://t.co/zctZYoDpND",126
"127","BorisJohnson","I'm horrified by the escalation of violence in Myanmar and the killing of pro-democracy protesters.

We stand with the people of Myanmar in calling for an immediate end to military repression, the release of Aung San Suu Kyi and others, and the restoration of democracy.",127
"128","BorisJohnson","From Scotch whisky distillers to Stilton-makers, the US decision to suspend tariffs on some UK exports today will benefit businesses right across the UK.
 
Fantastic news as we strengthen the UK-US trading relationship and work to build back better from the pandemic. https://t.co/p5XO8RTA9T",128
"129","BorisJohnson","I’ve been doing all I can to lose weight, and I'm not only fitter and healthier but also happier for it.

I'm pleased we’re investing £100 million into services to get the country healthier so we can all – quite literally – bounce back better. https://t.co/twD2EYFwyR",129
"130","BorisJohnson","Throughout the pandemic we stepped in to protect jobs and livelihoods. This Budget continues that support and sets out our plan for growth.

We're investing in innovation, skills and infrastructure to build back better, level up and unleash the potential of the United Kingdom. https://t.co/TS5zwKQhBs",130
"131","BorisJohnson","Let's bring football home in 2030.

I would love for the home of football to host the 2030 World Cup, and it would be a wonderful thing for the whole country to savour.

We want to do much more to encourage sport post-pandemic and see a bonanza of football in the years ahead. https://t.co/TsCmlKTLMW",131
"132","BorisJohnson","In Stoke-on-Trent today I saw the brilliant work being done to get children back to school safely next week. 
 
Getting children back in school is the best thing for their education, wellbeing and development. https://t.co/LR96raQIx2",132
"133","BorisJohnson","I would like to wish people in Wales and Welsh people around the world a very happy #StDavidsDay. 

Diolch for everything that you’re doing throughout this pandemic, and Dydd Gŵyl Dewi Hapus! 🏴󠁧󠁢󠁷󠁬󠁳󠁿 https://t.co/QYQvVSnUtR",133
"134","BorisJohnson","20 million people across the UK have now got the jab – a huge national achievement and a testament to the tireless work of NHS staff, volunteers, the Armed Forces &amp; many more. 

I urge everyone to get the jab when called. Every jab makes a difference in our battle against COVID. https://t.co/kdkB2EkGlS",134
"135","BorisJohnson","Congratulations to Wales on their impressive victory today and on taking home the Triple Crown.

#WALvENG",135
"136","BorisJohnson","This week I met with church and community leaders in Lewisham to discuss uptake of the COVID-19 vaccine. https://t.co/a3Gb6WsBD0",136
"137","BorisJohnson","Today Kuwait marks 30 years since its liberation from occupation. We remember those who gave their lives fighting bravely for freedom, including many British service personnel. I send my best wishes to our Kuwaiti friends as they celebrate their 60th National Day 🇰🇼🇬🇧",137
"138","BorisJohnson","I answer your questions at the #PeoplesPMQs https://t.co/H1nQzckcvi",138
"139","BorisJohnson","Wishing a very happy and safe #Purim to Jewish communities across our United Kingdom and around the world. Chag Purim Sameach!",139
"140","BorisJohnson","Excellent trip to Accrington Academy in Lancashire today to see how they’re preparing for pupils to return on 8th March. 
 
Our £700m catch up fund will ensure students across the country get the support they need to fulfil their potential. https://t.co/B8i02Hgwru",140
